Company,City,Year,Deposit Ratio,Equity to Assets Ratio,LLP,Loan Ratio,NPL,ROAA,ROAE,Standard Deviation of ROAA,Total Assets EUR,Total Customer Deposits EUR,Z-Score,Unnamed: 14,Unnamed: 15,Unnamed: 16,GDP,INF,month,GPR,GPRT,GPRA,Ln_Total Assets EUR,Ln_Equity to Assets Ratio,Ln_Loan Ratio,Ln_LLP,Ln_Deposit Ratio
BANCA DI CREDITO COOPERATIVO DI ALBEROBELLO SAMMICHELE E MONOPOLI,ALBEROBELLO,2022,0.763305536,7.005438898,5.298626686,73.40214508,6.983931918,0.02502546,0.32578681,0.076329293,839.876,641.082,4.522951259,,,,3.122957375,9.903684152631579,2022-06-16 12:00:00,157.5831934611003,199.2730185190836,124.7958981196086,6.733254261892976,1.9466868327869726,4.2959531597166025,1.6674476711327078,-0.27009688748555394
BANCA DI CREDITO COOPERATIVO DI ALBEROBELLO SAMMICHELE E MONOPOLI,ALBEROBELLO,2023,0.770537373,6.500061138,4.667563051,80.25503223,5.074256056,0.3531162,5.23139184,0.151246827,858.715,661.672,3.813554549,,,,-0.5379984658333333,5.977745703,2023-06-16 12:00:00,121.7001794179281,133.942325592041,116.1908276875814,6.755437085791854,1.8718115827035107,4.385209466960017,1.5406371048588379,-0.2606671205313201
BANCA DI CREDITO COOPERATIVO DI ANAGNI SCRL,ANAGNI,2017,0.533497245,13.87902422,15.42735468,43.80641192,25.74338796,-3.254661674,-21.30381141,1.633456231,775.213,413.574,1.987193924,,,,3.413880947789474,1.650400191421053,2017-06-16 12:00:00,107.377311706543,117.4666633605957,93.90502103169759,6.653137830301785,2.630378651454679,3.779780197535883,2.736142211625697,-0.6283013722649091
BANCA DI CREDITO COOPERATIVO DI ANAGNI SCRL,ANAGNI,2018,0.600902761,15.17078138,10.3503342,44.96325654,19.12926805,0.10933015,0.753791913,1.590490095,726.66,436.652,2.262509878,,,,2.726027871052632,1.703560482631579,2018-06-16 12:00:00,98.5529073079427,122.8477579752604,65.44431845347087,6.588458692761014,2.719371300273884,3.805845634901871,2.3370188090451443,-0.509322152878306
BANCA DI CREDITO COOPERATIVO DI ANAGNI SCRL,ANAGNI,2019,0.587281289,14.19829833,7.073149368,66.99860672,12.49046536,0.047755588,0.325452195,1.450932951,760.077,446.379,2.284273186,,,,2.222830119736842,1.440696388105263,2019-06-16 12:00:00,90.94625282287598,112.7704283396403,60.5952517191569,6.633419743937752,2.653122121510825,4.204671823950862,1.9563058358854437,-0.53225137631756
BANCA DI CREDITO COOPERATIVO DI ANAGNI SCRL,ANAGNI,2020,0.610715978,14.66072227,6.266458521,71.60407738,9.345023154,0.235532499,1.632521671,0.078158406,747.146,456.294,5.250127489,,,,-4.894555993157895,0.3124536947368421,2020-06-16 08:00:00,77.29380416870117,97.4657351175944,49.32102219263712,6.616260614495764,2.685171963321272,4.271152018993246,1.8352113658821296,-0.49312327567627695
BANCA DI CREDITO COOPERATIVO DI ANAGNI SCRL,ANAGNI,2021,0.676318732,14.65885274,4.443572732,73.43923472,5.418279808,0.288465932,1.967737418,0.103281485,762.911,515.971,4.974829085,,,,6.936355121315789,2.564898000105263,2021-06-16 12:00:00,82.07023620605469,103.8860009511312,54.54721323649088,6.637141379657853,2.685044435551726,4.296458325778639,1.4914587222406734,-0.39109081701755577
BANCA DI CREDITO COOPERATIVO DI ANAGNI SCRL,ANAGNI,2022,0.673193812,13.38707307,4.531826434,69.23223324,4.976654026,0.064026715,0.457460645,0.095794423,830.174,558.868,4.944611677,,,,3.122957375,9.903684152631579,2022-06-16 12:00:00,157.5831934611003,199.2730185190836,124.7958981196086,6.721635317373769,2.5942895450692856,4.237466552439184,1.5111250445506474,-0.3957220086269241
BANCA DI CREDITO COOPERATIVO DI ANAGNI SCRL,ANAGNI,2023,0.700947097,13.47778947,4.308323993,72.14626153,4.351921291,0.478636385,3.563397806,0.169456301,815.334,571.506,4.411100235,,,,-0.5379984658333333,5.977745703,2023-06-16 12:00:00,121.7001794179281,133.942325592041,116.1908276875814,6.703597845240162,2.6010431061319577,4.278695468631408,1.460548963754981,-0.35532286269838814
BANCA DI CREDITO COOPERATIVO DI AQUARA,AQUARA,2017,0.671033035,9.451691818,4.8395204,46.4273538,11.76441742,0.790342744,8.415793715,0.138514039,334.374,224.376,4.330863596,,,,3.413880947789474,1.650400191421053,2017-06-16 12:00:00,107.377311706543,117.4666633605957,93.90502103169759,5.8122601269915934,2.2461937538417756,3.837888807084367,1.5768156249096208,-0.3989369107335118
BANCA DI CREDITO COOPERATIVO DI AQUARA,AQUARA,2018,0.698178432,9.738095513,5.738578294,49.99135058,12.12734034,0.615955538,6.41786479,0.118386939,346.844,242.159,4.471174723,,,,2.726027871052632,1.703560482631579,2018-06-16 12:00:00,98.5529073079427,122.8477579752604,65.44431845347087,5.84887511113765,2.276045565989262,3.911850002063927,1.7472114956806086,-0.3592805756505511
BANCA DI CREDITO COOPERATIVO DI AQUARA,AQUARA,2019,0.738450468,8.872817422,3.416328208,68.71282732,8.589218831,0.510663008,5.491024287,0.152069982,355.772,262.72,4.122365198,,,,2.222830119736842,1.440696388105263,2019-06-16 12:00:00,90.94625282287598,112.7704283396403,60.5952517191569,5.874290076238479,2.1829923808354548,4.229935896791951,1.2285663509362645,-0.3032012503501161
BANCA DI CREDITO COOPERATIVO DI AQUARA,AQUARA,2020,0.773533571,9.394050487,5.395695903,71.57850634,8.158956717,0.976341147,10.67896384,0.199393646,381.88,295.397,3.951429077,,,,-4.894555993157895,0.3124536947368421,2020-06-16 08:00:00,77.29380416870117,97.4657351175944,49.32102219263712,5.9451064231298325,2.2400765619782685,4.270794838118205,1.6856015807530025,-0.2567862084887234
