"Bahamas, The",BHS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,5.513551244,2.628879213,1.190106235,1.359344878,-2.574033796,-0.469922706,1.994396654,1.103829252,0.027364579,-3.704543642,-5.545403081,0.120061239,-0.63214852,1.889639395,-3.767298841,0.936178676,0.079627995,-1.782023888,2.01529295,1.892926833,-2.003655928,-21.79346607,14.99716443,10.22051562,1.982610585
Bosnia and Herzegovina,BIH,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,8.5206366,4.750052027,2.042863604,4.940438543,4.230918332,7.374875475,5.129516204,6.354630872,7.183286711,7.168092787,-1.362529167,2.62997049,2.792141415,1.034339285,3.957296129,2.47075228,5.698303515,4.527613112,4.473386407,5.045838146,4.09411575,-1.778703887,8.948276616,5.432879738,2.394387577
Belarus,BLR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,3.866378733,6.299636368,5.263892187,5.716082436,7.794917865,12.21261827,10.14976724,10.67558671,9.099460042,10.58130503,0.446705735,8.034088147,5.625881241,1.846520265,1.042243344,1.669105162,-3.957343643,-2.611299318,2.644247088,3.37043437,1.651118196,-0.251386576,3.290821506,-3.888387839,4.449606935
Belize,BLZ,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,5.743670657,8.658248234,1.737535587,2.151710006,6.337442083,1.650275625,-0.7875041,1.487551716,0.36189855,-4.275932527,-3.1440316,-1.254067768,-2.546735303,1.348535826,2.126119256,1.748010161,1.063864853,-2.036875814,-3.747261339,-0.894543697,2.353207273,-15.00434857,16.35687175,7.328153287,3.128573889
Bermuda,BMU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,2.805721748,8.348324206,6.071369138,-2.116731681,2.736271274,1.655071335,1.018079897,4.940272519,2.763815335,-2.444780256,-6.148629405,-1.736363236,-2.907850829,-5.647262748,-0.591137895,-3.903606108,0.622598427,0.3938692,4.716102205,-0.5028993,0.317253011,-6.816625323,5.632366643,6.713968522,
Bolivia,BOL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-1.383429233,0.675361125,-0.099986843,0.706590426,0.933272881,2.377208378,2.627411949,2.981967715,2.75018668,4.328171136,1.601456455,2.375335576,3.453673773,3.39719644,5.069795424,3.783187059,3.220538823,2.663074214,2.623303336,2.684797339,0.737697155,-9.952404845,4.852474889,2.379798264,1.083512337
Brazil,BRA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-0.948845923,2.970910781,0.059648944,1.760242779,-0.051285666,4.561781957,2.055571501,2.847962008,4.98082992,4.061722166,-1.073238333,6.522816179,3.013396273,1.007654033,2.114256452,-0.354514802,-4.358317179,-4.057423002,0.523296589,0.978938493,0.448280407,-3.918004172,4.210300254,2.544332854,2.381177724
Barbados,BRB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,0.134115254,4.254994513,-2.630358564,0.379644847,1.77670843,1.031642701,3.580491633,5.69870547,1.695978925,0.193845998,-5.418311892,-2.545180783,-1.051544238,-0.505894059,-1.551647067,-0.284468003,2.206615771,2.344369994,0.321058802,-0.924143741,0.203625235,-12.69951062,-1.361362551,13.30558444,4.383061987
Brunei Darussalam,BRN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,0.88016699,0.730069451,0.687036971,1.864685729,0.990882746,-1.284601231,-1.3250511,2.692052121,-1.416167647,-3.423745709,-3.209963091,1.111479826,2.336315197,-0.359754944,-3.330844835,-3.667518932,-1.522384232,-3.521143982,0.320205439,-0.868860057,2.974226152,0.291718917,-2.396821563,-2.423407703,0.617815738
Bhutan,BTN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,5.365267425,0.500693029,4.476824544,7.622418469,5.140586087,2.671628839,4.785804258,4.081596814,14.68177977,3.298410323,6.442016529,10.68835564,7.121067875,3.956725573,0.578396639,4.64569407,5.576715068,7.462662357,2.636928804,2.690394452,5.016132016,-10.804966,3.752521379,4.545704545,
Botswana,BWA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,7.342426783,-0.104457891,-1.73773223,4.107829816,2.80852064,0.925705688,2.693878237,6.347004907,3.73406781,1.176918832,-15.89055769,7.875871132,4.717165863,-2.070174126,9.005663889,3.679522612,-6.700302342,5.051373153,1.971944389,2.081346124,1.04167164,-10.40263091,10.1036935,3.806743239,1.000812395
